Logic - Sensitive Gate,600V,16A,1.5V,155A   170A,10mA,45mA,Single,125°C (TJ),Through Hole,TO-220-3,TO-220AB
Standard,600V,40A,1.3V,400A   420A,50mA,80mA,Single,-40°C ~ 125°C (TJ),Through Hole,TOP-3 Insulated,TOP3
Logic - Sensitive Gate,600V,4A,1.5V,25A   27A,10mA,15mA,Single,125°C (TJ),Through Hole,TO-220-3,TO-220AB
Logic - Sensitive Gate,600V,8A,1.5V,65A   71A,10mA,20mA,Single,125°C (TJ),Through Hole,TO-220-3,TO-220AB
Logic - Sensitive Gate,600V,12A,1.5V,95A   105A,10mA,30mA,Single,125°C (TJ),Through Hole,TO-220-3,TO-220AB
Standard,600V,25A,1.3V,250A   260A,50mA,80mA,Single,-40°C ~ 125°C (TJ),Through Hole,TOP-3 Insulated,TOP3
Logic - Sensitive Gate,600V,4A,1.3V,30A   31A,5mA,10mA,Single,-40°C ~ 150°C (TJ),Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Alternistor - Snubberless,400V,25A,1.3V,208A   250A,80mA,100mA,Single,-40°C ~ 125°C (TJ),Through Hole,TO-220-3 Isolated Tab,-
Logic - Sensitive Gate,600V,1A,1.3V,8A @ 60Hz,3mA,10mA,Single,-40°C ~ 125°C (TJ),Surface Mount,TO-261-4   TO-261AA,SOT-223
Logic - Sensitive Gate,800V,1A,1.3V,8A   8.5A,3mA,7mA,Single,-40°C ~ 125°C (TJ),Surface Mount,TO-261-4   TO-261AA,SOT-223
Logic - Sensitive Gate,800V,1A,1.3V,8A   8.5A,5mA,10mA,Single,125°C (TJ),Through Hole,TO-226-3   TO-92-3 (TO-226AA) (Formed Leads),TO-92-3
Logic - Sensitive Gate,600V,1A,1.3V,8A   8.5A,10mA,10mA,Single,-40°C ~ 125°C (TJ),Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92
Logic - Sensitive Gate,600V,1A,1.3V,8A   8.5A,10mA,10mA,Single,125°C (TJ),Surface Mount,TO-261-4   TO-261AA,SOT-223
Logic - Sensitive Gate,600V,4A,1.3V,20A   21A,5mA,5mA,Single,-40°C ~ 125°C (TJ),Through Hole,TO-202-3,TO-202-3
Logic - Sensitive Gate,600V,4A,2.5V,30A @ 60Hz,5mA,15mA,Single,-40°C ~ 110°C (TJ),Through Hole,TO-225AA   TO-126-3,TO-225AA
Logic - Sensitive Gate,600V,800mA,1V,7.3A   7.6A,10mA,25mA,Single,-30°C ~ 125°C (TJ),Surface Mount,TO-261-4   TO-261AA,SOT-223
Logic - Sensitive Gate,600V,800mA,1V,7.3A   7.6A,10mA,25mA,Single,-30°C ~ 125°C (TJ),Surface Mount,3-SMB   Flat Lead,SMBflat-3L
Logic - Sensitive Gate,700V,1A,1V,8A   11A,10mA,45mA,Single,-30°C ~ 125°C (TJ),Surface Mount,TO-261-4   TO-261AA,SOT-223
Logic - Sensitive Gate,700V,2A,1V,20A   11A,10mA,45mA,Single,-30°C ~ 125°C (TJ),Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Logic - Sensitive Gate,800V,2A,1.1V,8A   8.4A,10mA,10mA,Single,-40°C ~ 125°C (TJ),Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Logic - Sensitive Gate,600V,1A,1.5V,12.5A   13.8A,3mA,5mA,Single,125°C (TJ),Through Hole,TO-226-3   TO-92-3 (TO-226AA) (Formed Leads),TO-92-3
Logic - Sensitive Gate,800V,4A,1.5V,25A   27A,10mA,15mA,Single,125°C (TJ),Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,DPAK
Standard,600V,8A,1.3V,80A   84A,50mA,50mA,Single,-40°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220AB
Alternistor - Snubberless,600V,12A,1.3V,120A   126A,50mA,50mA,Single,-40°C ~ 125°C (TJ),Through Hole,TO-220-3,TO-220AB
Alternistor - Snubberless,600V,12A,1.3V,120A   126A,35mA,35mA,Single,-40°C ~ 125°C (TJ),Through Hole,TO-220-3,TO-220AB
Standard,600V,25A,1.5V,190A   209A,35mA,60mA,Single,125°C (TJ),Through Hole,TO-220-3,TO-220AB
Logic - Sensitive Gate,600V,6A,1.3V,60A   63A,5mA,10mA,Single,-40°C ~ 125°C (TJ),Through Hole,TO-220-3,TO-220AB
Alternistor - Snubberless,600V,16A,1.3V,160A   168A,35mA,35mA,Single,-40°C ~ 125°C (TJ),Through Hole,TO-220-3,TO-220AB
